,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
59499,7186562518,6995,2015.0,nissan,versa note,good,4 cylinders,gas,46000.0,automatic,hatchback,41.9515,-91.6771
59533,7194647779,6200,2015.0,ford,focus se,excellent,4 cylinders,gas,92872.0,automatic,hatchback,33.8722,-117.923
59538,7194645107,8100,2014.0,mazda,3,excellent,4 cylinders,gas,145000.0,automatic,hatchback,33.6829,-117.83
59555,7194636158,2800,2010.0,chevrolet,aveo5,good,4 cylinders,gas,126128.0,automatic,hatchback,33.6437,-117.687
59563,7187866974,6800,2013.0,ford,cmax,excellent,4 cylinders,hybrid,103000.0,automatic,hatchback,61.1901,-149.936
59584,7182050630,2500,2005.0,ford,focus zx3 ses,good,4 cylinders,gas,160000.0,manual,hatchback,36.0666,-79.4002
59628,7185226997,0,2017.0,mazda,mazda3 5-door,excellent,4 cylinders,gas,38827.0,automatic,hatchback,39.1301,-84.601
59633,7194603573,6400,2010.0,mini,cooper,excellent,4 cylinders,gas,69521.0,automatic,hatchback,33.6802,-117.921
59646,7188472402,8998,2003.0,volkswagen,gti vr6,good,6 cylinders,gas,77205.0,manual,hatchback,44.4394,-73.2102
59658,7194582302,2500,2008.0,mini,cooper,good,4 cylinders,gas,153200.0,automatic,hatchback,33.8359,-117.909
59688,7193913725,19500,2002.0,pontiac,firebird,like new,8 cylinders,gas,37492.0,automatic,hatchback,29.0337,-96.9861
59700,7194523840,5900,2006.0,acura,rsx,excellent,4 cylinders,gas,117500.0,automatic,hatchback,33.709,-117.759
59714,7194508205,3500,2003.0,volkswagen,golf,good,4 cylinders,gas,162214.0,automatic,hatchback,33.6773,-118.005
59731,7183286015,9270,2014.0,ford,focus,excellent,4 cylinders,other,50462.0,automatic,hatchback,42.4582,-92.3336
59746,7194480127,2500,2006.0,ford,focus zx3,good,4 cylinders,gas,57150.0,manual,hatchback,33.6128,-117.662
59768,7194466508,14000,2017.0,ford,focus electric,excellent,other,electric,17441.0,automatic,hatchback,33.6654,-117.969
59834,7188241476,11500,2017.0,nissan,leaf s,excellent,other,electric,39000.0,automatic,hatchback,44.459,-72.9552
59838,7194447863,2500,2008.0,mini,cooper,good,4 cylinders,gas,153200.0,automatic,hatchback,33.8359,-117.909
59958,7192521951,4999,2005.0,hyundai,elantra gls,excellent,4 cylinders,gas,187897.0,manual,hatchback,39.1234,-121.611
60102,7183053235,3500,1989.0,honda,crx si,good,4 cylinders,gas,280000.0,manual,hatchback,34.663,-77.5916
60108,7186491343,18000,2017.0,honda,civic hatchback sport,like new,4 cylinders,gas,29500.0,automatic,hatchback,41.673,-93.7028
60138,7188141390,9498,2015.0,volkswagen,golf tsi -s,good,4 cylinders,gas,100427.0,automatic,hatchback,44.4395,-73.2102
60161,7188139677,15998,2017.0,subaru,forester premium awd,good,4 cylinders,gas,80231.0,automatic,hatchback,44.4395,-73.2102
60165,7188139189,7998,2010.0,mitsubishi,lancer ralliart awd,good,4 cylinders,gas,141252.0,automatic,hatchback,44.4395,-73.2102
60205,7194331978,13500,2014.0,mini,cooper countryman s,excellent,4 cylinders,gas,43800.0,automatic,hatchback,33.6483,-117.915
60235,7193309293,12900,2016.0,ford,focus titanium hatchback,excellent,4 cylinders,gas,33000.0,automatic,hatchback,38.8076,-104.74
60241,7194273283,5400,2010.0,toyota,prius,excellent,4 cylinders,hybrid,178000.0,automatic,hatchback,33.6829,-117.83
60307,7194054081,6500,2014.0,volkswagen,jetta,excellent,5 cylinders,gas,67000.0,automatic,hatchback,33.6483,-117.915
60310,7189654400,16500,2015.0,subaru,outback,excellent,4 cylinders,gas,58643.0,automatic,hatchback,38.0068,-78.6
60328,7192740345,13495,2018.0,fiat,500,good,4 cylinders,gas,5920.0,automatic,hatchback,38.8205,-104.825
60337,7192681669,13988,2017.0,toyota,corolla im,excellent,4 cylinders,gas,65458.0,automatic,hatchback,38.8395,-104.778
60344,7192670013,17000,2016.0,subaru,impreza (hatchback),excellent,4 cylinders,gas,27000.0,automatic,hatchback,38.8509,-104.824
60346,7186767882,4500,2012.0,nissan,versa,good,4 cylinders,gas,48000.0,automatic,hatchback,61.19,-149.894
60361,7194003611,10999,2011.0,mazda,3 speed turbo,excellent,4 cylinders,gas,114737.0,automatic,hatchback,33.7691,-117.885
60383,7193989990,11999,2013.0,mini,cooper countryman,excellent,4 cylinders,gas,52000.0,automatic,hatchback,34.0772,-118.148
